,comment,comment_id,author_url,author_name,reply_count,like_count,date,vidid,total_reply_counts,vid_title,just_date
465,"Hi Tina, thank you for posting this! So helpful. I'm enrolled in MCIT and starting my first semester this fall. I have been really confused as to how to go about interviewing when you don't even know the subject matter - especially since the interviews start so early. This gives some context though and that it's normal to not know all the answers to interview questions simply because you haven't had the relevant classes yet. It's also interesting that so much of the interview took place virtually - I'm guessing that is how things will be for the time being as well, including the final round most likely. Did career services help at all with this process? I.e. was there an ""on campus recruiting"" aspect to your search or did you just do everything independently?",UgwLa3sn00WKUNfodgN4AaABAg,http://www.youtube.com/channel/UC9w4YwA09e8B80-mIWDHSCg,Made Up By Sarah,1,0,2020-08-21 18:07:10+00:00,Rx1i1J4m4MQ,1,How I got Software Engineering and Data Science Internships | Computer Science Job Search Part 1,2020-08-21
466,"Great advice Tina! Also, I'm so impressed with your progress on this channel!!! GO TINA!",UgwKbo51a-sX0_1o79N4AaABAg,http://www.youtube.com/channel/UC0JogOxwwRQmDQC_1PrkY7A,Thùy Trang Dương,1,0,2020-08-21 16:05:09+00:00,2goqyY5XBeI,1,Best Data Science Project to Get an Internship or Job (especially if you have no experience),2020-08-21
467,"Hi Tina, thanks for sharing! Do you have any tips about internship search during the first year when recruiting times are so early and classes have barely begun? - From an anxious MCIT '22 student!",UgzHhPVi0HzPMmaZIQN4AaABAg,http://www.youtube.com/channel/UC5SUmyKEycxHxESw1RZnBiw,Vivian Xi,2,0,2020-08-21 15:14:54+00:00,KsQU_3n0IYE,2,My UPenn MCIT Experience,2020-08-21
468,Love the background of the video!,UgyziMySDOGsi-1F2n94AaABAg,http://www.youtube.com/channel/UCiT9RITQ9PW6BhXK0y2jaeg,Ken Jee,1,4,2020-08-21 07:35:50+00:00,2goqyY5XBeI,1,Best Data Science Project to Get an Internship or Job (especially if you have no experience),2020-08-21
469,"Have you guys done the best data science project yet? If not, what's your plan to incorporate it on your data science career journey? Remember, it's a journey! The best things always take a little patience ❤️",UgyuE-OumBOlBygn66t4AaABAg,http://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,0,2,2020-08-20 23:43:35+00:00,2goqyY5XBeI,0,Best Data Science Project to Get an Internship or Job (especially if you have no experience),2020-08-20
470,Very good,UgwPMjuGobuaK6wdYRB4AaABAg,http://www.youtube.com/channel/UCeFgzHvSDa_0_PjI6knYQ3A,danielxuxu Huang,1,0,2020-08-20 23:38:53+00:00,2goqyY5XBeI,1,Best Data Science Project to Get an Internship or Job (especially if you have no experience),2020-08-20
471,"Oh heck ya, I’m starting my 3rd research project next year 😤😤 confidence booster ❤️",UgzwZ05fjQtMbtFiOPp4AaABAg,http://www.youtube.com/channel/UCGr65O0GnTxsynaXZULN9SA,Rachel Castellino,1,2,2020-08-20 23:26:30+00:00,2goqyY5XBeI,1,Best Data Science Project to Get an Internship or Job (especially if you have no experience),2020-08-20
472,Nice video.... expecting hard questions in upcoming videos,UgxlrcPO7RTsP251k594AaABAg,http://www.youtube.com/channel/UCs5G74EOnvkmSQE-zSdBHZA,Sanyog Sharma,3,0,2020-08-19 02:08:59+00:00,vaD3ZFFNwhM,3,How I Learned SQL from Scratch in 11 Days for FANG Data Science Interview (includes interview demo),2020-08-19
473,"yesss love it, so helpful!! also that strawberry milk drink sounds really good 😊",UgxDPRdsWD2wOVyQpsp4AaABAg,http://www.youtube.com/channel/UCTFzsGfQIAcfJ-5v1PcJISw,Shalini K,1,0,2020-08-18 21:41:53+00:00,wQJUI8dSWNQ,1,3rd Year CS Resume (and asian drink) Review | Reviewing Your Resumes Ep. 2,2020-08-18
474,"Skip to 01:38 for resume review and 12:16 for summary!

Does this justify me spending way too much money at HMart tho. Also, I'm not sure if these types of videos are helpful so please let me know if you guys think I should make more videos like this? 😵",UgxLcxgKoaO0eohEaLV4AaABAg,http://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,0,0,2020-08-18 14:08:26+00:00,wQJUI8dSWNQ,0,3rd Year CS Resume (and asian drink) Review | Reviewing Your Resumes Ep. 2,2020-08-18
